User_ID,Age_Group,Gender,Region,Preferred_Tool,Satisfaction,Feedback,Timestamp
45,18-24,Male,South,Excel,1,Great tool,2024-01-02 20:00:00
46,35-44,Male,South,Excel,1,Needs improvement,2024-01-02 21:00:00
47,25-34,Female,East,Excel,4,Needs improvement,2024-01-02 22:00:00
48,18-24,Male,East,R,4,Excellent,2024-01-02 23:00:00
49,25-34,Female,East,Excel,5,Very useful,2024-01-03 00:00:00
50,25-34,Male,East,Power BI,1,Not bad,2024-01-03 01:00:00
51,25-34,Female,South,Power BI,1,Not bad,2024-01-03 02:00:00
52,18-24,Male,West,Excel,5,Not bad,2024-01-03 03:00:00
53,25-34,Female,East,Power BI,3,Excellent,2024-01-03 04:00:00
54,18-24,Male,East,Excel,3,Needs improvement,2024-01-03 05:00:00
55,25-34,Female,South,Excel,3,Could be better,2024-01-03 06:00:00
56,35-44,Male,South,Excel,5,Could be better,2024-01-03 07:00:00
57,35-44,Female,North,Python,1,Excellent,2024-01-03 08:00:00
58,18-24,Female,East,R,5,Could be better,2024-01-03 09:00:00
59,35-44,Female,North,Excel,5,Not bad,2024-01-03 10:00:00
60,35-44,Male,South,Excel,3,Very useful,2024-01-03 11:00:00
61,25-34,Female,South,Power BI,2,Great tool,2024-01-03 12:00:00
62,18-24,Male,West,Python,1,Needs improvement,2024-01-03 13:00:00
63,25-34,Female,East,Excel,3,Needs improvement,2024-01-03 14:00:00
64,25-34,Male,North,Excel,2,Excellent,2024-01-03 15:00:00
65,25-34,Female,South,R,2,Needs improvement,2024-01-03 16:00:00
66,25-34,Male,South,Excel,4,Not bad,2024-01-03 17:00:00
67,25-34,Male,North,Power BI,1,Could be better,2024-01-03 18:00:00
68,25-34,Female,West,R,2,Not bad,2024-01-03 19:00:00
69,25-34,Male,South,Python,3,Excellent,2024-01-03 20:00:00
70,18-24,Male,East,Python,4,Not bad,2024-01-03 21:00:00
71,35-44,Female,South,Excel,1,Could be better,2024-01-03 22:00:00
72,25-34,Male,East,Python,5,Very useful,2024-01-03 23:00:00
73,25-34,Male,North,Python,3,Excellent,2024-01-04 00:00:00
74,25-34,Male,East,Excel,2,Very useful,2024-01-04 01:00:00
75,25-34,Female,North,Python,2,Great tool,2024-01-04 02:00:00
76,25-34,Male,East,Excel,3,Very useful,2024-01-04 03:00:00
77,25-34,Female,North,Excel,2,Great tool,2024-01-04 04:00:00
78,35-44,Male,East,Excel,4,Great tool,2024-01-04 05:00:00
79,35-44,Male,West,Excel,1,Very useful,2024-01-04 06:00:00
80,25-34,Male,East,Excel,4,Excellent,2024-01-04 07:00:00
81,35-44,Female,East,Python,2,Could be better,2024-01-04 08:00:00
82,18-24,Male,West,Excel,5,Not bad,2024-01-04 09:00:00
83,25-34,Male,South,Excel,1,Not bad,2024-01-04 10:00:00
84,18-24,Female,South,Power BI,1,Could be better,2024-01-04 11:00:00
85,18-24,Male,East,Excel,3,Great tool,2024-01-04 12:00:00
86,25-34,Female,West,Power BI,3,Great tool,2024-01-04 13:00:00
87,35-44,Female,East,Excel,5,Excellent,2024-01-04 14:00:00
88,18-24,Male,North,Python,1,Needs improvement,2024-01-04 15:00:00
89,25-34,Female,North,Power BI,5,Very useful,2024-01-04 16:00:00
90,18-24,Male,East,Python,3,Great tool,2024-01-04 17:00:00
91,18-24,Female,South,Python,3,Not bad,2024-01-04 18:00:00
92,18-24,Female,South,Python,1,Excellent,2024-01-04 19:00:00
93,18-24,Male,East,Excel,4,Very useful,2024-01-04 20:00:00
94,35-44,Female,East,Excel,2,Excellent,2024-01-04 21:00:00
95,18-24,Female,North,Python,3,Very useful,2024-01-04 22:00:00
96,18-24,Female,South,Power BI,3,Very useful,2024-01-04 23:00:00
97,18-24,Female,East,Python,4,Could be better,2024-01-05 00:00:00
98,35-44,Female,North,Python,4,Great tool,2024-01-05 01:00:00
99,18-24,Male,South,Python,5,Excellent,2024-01-05 02:00:00
100,18-24,Female,West,Python,5,Excellent,2024-01-05 03:00:00
101,35-44,Male,North,Excel,2,Could be better,2024-01-05 04:00:00
102,35-44,Female,South,Excel,2,Not bad,2024-01-05 05:00:00
103,35-44,Male,South,Excel,1,Not bad,2024-01-05 06:00:00
104,18-24,Male,North,Python,5,Great tool,2024-01-05 07:00:00
105,35-44,Female,West,Python,3,Great tool,2024-01-05 08:00:00
106,35-44,Female,North,Python,5,Needs improvement,2024-01-05 09:00:00
107,18-24,Female,South,Power BI,3,Could be better,2024-01-05 10:00:00
108,35-44,Male,East,Python,4,Not bad,2024-01-05 11:00:00
109,18-24,Female,East,Excel,5,Very useful,2024-01-05 12:00:00
110,25-34,Male,North,Power BI,4,Excellent,2024-01-05 13:00:00
111,35-44,Male,South,Excel,2,Great tool,2024-01-05 14:00:00
112,25-34,Male,East,Power BI,2,Excellent,2024-01-05 15:00:00
113,18-24,Female,South,Python,1,Excellent,2024-01-05 16:00:00
114,35-44,Female,North,R,5,Needs improvement,2024-01-05 17:00:00
115,18-24,Male,East,Excel,4,Not bad,2024-01-05 18:00:00
116,25-34,Male,South,R,3,Great tool,2024-01-05 19:00:00
117,18-24,Female,East,Python,2,Excellent,2024-01-05 20:00:00
118,35-44,Male,North,Python,2,Great tool,2024-01-05 21:00:00
119,35-44,Female,South,Python,3,Very useful,2024-01-05 22:00:00
120,25-34,Male,East,Excel,4,Needs improvement,2024-01-05 23:00:00
121,18-24,Female,North,Power BI,4,Very useful,2024-01-06 00:00:00
122,35-44,Male,East,R,5,Great tool,2024-01-06 01:00:00
123,25-34,Female,East,Python,5,Great tool,2024-01-06 02:00:00
124,35-44,Male,West,Power BI,1,Not bad,2024-01-06 03:00:00
125,35-44,Female,West,Python,2,Excellent,2024-01-06 04:00:00
126,18-24,Female,North,Python,5,Excellent,2024-01-06 05:00:00
127,35-44,Male,West,Python,4,Very useful,2024-01-06 06:00:00
128,18-24,Male,North,R,3,Needs improvement,2024-01-06 07:00:00
129,35-44,Female,West,Python,4,Could be better,2024-01-06 08:00:00
130,25-34,Male,East,Excel,2,Excellent,2024-01-06 09:00:00
131,35-44,Female,North,Power BI,4,Not bad,2024-01-06 10:00:00
132,18-24,Male,North,Python,1,Very useful,2024-01-06 11:00:00
133,18-24,Female,East,Excel,2,Very useful,2024-01-06 12:00:00
134,25-34,Female,North,Python,3,Could be better,2024-01-06 13:00:00
135,35-44,Female,North,Python,1,Not bad,2024-01-06 14:00:00
136,35-44,Female,West,Excel,2,Needs improvement,2024-01-06 15:00:00
137,25-34,Female,North,Python,3,Not bad,2024-01-06 16:00:00
138,35-44,Female,South,Excel,1,Needs improvement,2024-01-06 17:00:00
139,35-44,Male,East,Excel,1,Not bad,2024-01-06 18:00:00
140,18-24,Male,West,Excel,2,Not bad,2024-01-06 19:00:00
141,35-44,Male,West,R,5,Great tool,2024-01-06 20:00:00
142,35-44,Female,South,Excel,1,Very useful,2024-01-06 21:00:00
143,25-34,Female,East,Excel,1,Not bad,2024-01-06 22:00:00
144,25-34,Female,East,Excel,3,Could be better,2024-01-06 23:00:00
145,18-24,Female,West,Python,4,Not bad,2024-01-07 00:00:00
146,35-44,Male,North,Python,2,Excellent,2024-01-07 01:00:00
147,35-44,Male,West,Power BI,2,Very useful,2024-01-07 02:00:00
148,35-44,Female,East,Excel,5,Excellent,2024-01-07 03:00:00
149,18-24,Male,South,Python,5,Very useful,2024-01-07 04:00:00
150,18-24,Male,West,Excel,2,Excellent,2024-01-07 05:00:00
151,25-34,Female,East,Python,5,Not bad,2024-01-07 06:00:00
152,18-24,Male,West,Power BI,3,Not bad,2024-01-07 07:00:00
153,35-44,Female,North,Python,2,Great tool,2024-01-07 08:00:00
154,35-44,Male,West,Python,5,Could be better,2024-01-07 09:00:00
155,18-24,Female,West,Python,2,Excellent,2024-01-07 10:00:00
156,35-44,Female,East,Excel,4,Needs improvement,2024-01-07 11:00:00
157,35-44,Female,East,Power BI,1,Great tool,2024-01-07 12:00:00
158,18-24,Female,East,Python,2,Excellent,2024-01-07 13:00:00
159,18-24,Male,West,Power BI,1,Excellent,2024-01-07 14:00:00
160,35-44,Female,North,Python,5,Great tool,2024-01-07 15:00:00
161,35-44,Female,South,Power BI,1,Not bad,2024-01-07 16:00:00
162,35-44,Female,South,Python,2,Excellent,2024-01-07 17:00:00
163,25-34,Male,East,Python,4,Not bad,2024-01-07 18:00:00
164,25-34,Female,East,Excel,5,Great tool,2024-01-07 19:00:00
165,25-34,Male,West,Power BI,2,Not bad,2024-01-07 20:00:00
166,18-24,Female,South,Power BI,5,Very useful,2024-01-07 21:00:00
167,25-34,Male,East,Excel,3,Needs improvement,2024-01-07 22:00:00
168,18-24,Male,North,Power BI,1,Excellent,2024-01-07 23:00:00
169,18-24,Female,North,Python,3,Could be better,2024-01-08 00:00:00
170,25-34,Male,East,Power BI,2,Needs improvement,2024-01-08 01:00:00
171,25-34,Female,East,Excel,4,Not bad,2024-01-08 02:00:00
172,25-34,Female,South,R,5,Excellent,2024-01-08 03:00:00
173,35-44,Female,South,Power BI,1,Not bad,2024-01-08 04:00:00
174,25-34,Male,West,R,5,Very useful,2024-01-08 05:00:00
175,35-44,Male,South,Excel,2,Great tool,2024-01-08 06:00:00
176,18-24,Female,North,Excel,5,Excellent,2024-01-08 07:00:00
177,35-44,Female,North,Power BI,1,Very useful,2024-01-08 08:00:00
178,25-34,Male,East,Python,2,Very useful,2024-01-08 09:00:00
179,18-24,Female,South,Power BI,5,Excellent,2024-01-08 10:00:00
180,18-24,Female,West,R,4,Not bad,2024-01-08 11:00:00
181,18-24,Female,North,Python,2,Could be better,2024-01-08 12:00:00
182,35-44,Male,North,R,2,Very useful,2024-01-08 13:00:00
183,25-34,Male,West,Excel,4,Needs improvement,2024-01-08 14:00:00
184,18-24,Male,West,R,3,Very useful,2024-01-08 15:00:00
185,18-24,Female,North,R,1,Could be better,2024-01-08 16:00:00
186,18-24,Female,North,Python,3,Not bad,2024-01-08 17:00:00
187,35-44,Female,West,Excel,5,Not bad,2024-01-08 18:00:00
188,35-44,Male,North,Power BI,4,Needs improvement,2024-01-08 19:00:00
189,25-34,Female,East,Python,3,Very useful,2024-01-08 20:00:00
190,35-44,Female,East,Excel,2,Not bad,2024-01-08 21:00:00
191,18-24,Female,West,Python,5,Could be better,2024-01-08 22:00:00
192,25-34,Female,South,Excel,5,Excellent,2024-01-08 23:00:00
193,18-24,Male,West,Excel,3,Great tool,2024-01-09 00:00:00
194,18-24,Male,West,Excel,3,Great tool,2024-01-09 01:00:00
195,35-44,Female,South,Python,4,Great tool,2024-01-09 02:00:00
196,25-34,Male,South,Excel,1,Very useful,2024-01-09 03:00:00
197,35-44,Male,South,Python,3,Needs improvement,2024-01-09 04:00:00
198,35-44,Female,East,Python,3,Not bad,2024-01-09 05:00:00
199,25-34,Female,North,Python,2,Excellent,2024-01-09 06:00:00
200,18-24,Male,East,Python,5,Could be better,2024-01-09 07:00:00
201,18-24,Female,North,Excel,1,Excellent,2024-01-09 08:00:00
202,25-34,Male,East,Excel,2,Could be better,2024-01-09 09:00:00
203,18-24,Female,North,R,4,Very useful,2024-01-09 10:00:00
204,25-34,Male,East,Python,4,Great tool,2024-01-09 11:00:00
205,25-34,Female,South,Power BI,3,Very useful,2024-01-09 12:00:00
206,35-44,Male,West,R,3,Needs improvement,2024-01-09 13:00:00
207,25-34,Male,East,Excel,4,Needs improvement,2024-01-09 14:00:00
208,35-44,Male,North,Power BI,3,Could be better,2024-01-09 15:00:00
209,18-24,Female,South,Power BI,1,Not bad,2024-01-09 16:00:00
210,18-24,Male,East,Python,3,Not bad,2024-01-09 17:00:00
211,18-24,Male,East,Python,5,Could be better,2024-01-09 18:00:00
212,18-24,Female,South,Power BI,3,Needs improvement,2024-01-09 19:00:00
213,35-44,Female,East,R,2,Needs improvement,2024-01-09 20:00:00
214,18-24,Male,West,Python,1,Needs improvement,2024-01-09 21:00:00
215,25-34,Male,East,R,2,Very useful,2024-01-09 22:00:00
216,25-34,Female,West,Power BI,2,Needs improvement,2024-01-09 23:00:00
217,25-34,Female,West,R,5,Excellent,2024-01-10 00:00:00
218,35-44,Female,South,R,1,Great tool,2024-01-10 01:00:00
219,18-24,Female,East,Power BI,1,Needs improvement,2024-01-10 02:00:00
220,18-24,Female,South,Python,1,Could be better,2024-01-10 03:00:00
221,18-24,Male,East,Python,1,Great tool,2024-01-10 04:00:00
222,35-44,Female,East,Excel,1,Very useful,2024-01-10 05:00:00
223,25-34,Male,North,Power BI,5,Could be better,2024-01-10 06:00:00
224,25-34,Male,East,Python,3,Great tool,2024-01-10 07:00:00
225,18-24,Male,South,Excel,2,Could be better,2024-01-10 08:00:00
226,25-34,Female,West,Excel,1,Very useful,2024-01-10 09:00:00
227,25-34,Male,East,Excel,3,Excellent,2024-01-10 10:00:00
228,35-44,Male,North,R,3,Very useful,2024-01-10 11:00:00
229,35-44,Female,South,Power BI,2,Very useful,2024-01-10 12:00:00
230,35-44,Male,East,Excel,5,Could be better,2024-01-10 13:00:00
231,35-44,Male,South,Excel,4,Not bad,2024-01-10 14:00:00
232,18-24,Female,North,Excel,4,Needs improvement,2024-01-10 15:00:00
233,35-44,Male,North,Excel,3,Needs improvement,2024-01-10 16:00:00
234,25-34,Male,South,Python,2,Excellent,2024-01-10 17:00:00
235,18-24,Male,East,Python,4,Excellent,2024-01-10 18:00:00
236,25-34,Female,West,Excel,3,Needs improvement,2024-01-10 19:00:00
237,25-34,Female,North,Python,5,Not bad,2024-01-10 20:00:00
238,25-34,Female,East,Python,4,Needs improvement,2024-01-10 21:00:00
239,35-44,Male,East,Excel,3,Not bad,2024-01-10 22:00:00
240,35-44,Male,West,Excel,3,Excellent,2024-01-10 23:00:00
241,18-24,Female,North,Python,1,Great tool,2024-01-11 00:00:00
242,18-24,Male,North,R,5,Could be better,2024-01-11 01:00:00
243,35-44,Male,East,Excel,1,Excellent,2024-01-11 02:00:00
244,25-34,Female,East,Python,2,Excellent,2024-01-11 03:00:00
245,18-24,Female,West,Power BI,1,Very useful,2024-01-11 04:00:00
246,35-44,Male,West,Excel,1,Very useful,2024-01-11 05:00:00
247,35-44,Male,North,R,4,Very useful,2024-01-11 06:00:00
248,35-44,Male,South,Excel,3,Could be better,2024-01-11 07:00:00
249,25-34,Female,North,Power BI,5,Very useful,2024-01-11 08:00:00
250,35-44,Female,East,R,1,Not bad,2024-01-11 09:00:00
251,35-44,Female,North,R,5,Needs improvement,2024-01-11 10:00:00
252,35-44,Female,South,R,1,Great tool,2024-01-11 11:00:00
253,35-44,Male,West,Python,2,Excellent,2024-01-11 12:00:00
254,18-24,Female,South,Python,1,Not bad,2024-01-11 13:00:00
255,18-24,Female,South,R,4,Great tool,2024-01-11 14:00:00
256,35-44,Female,South,Excel,3,Not bad,2024-01-11 15:00:00
257,25-34,Female,West,R,2,Not bad,2024-01-11 16:00:00
258,18-24,Female,South,Python,1,Excellent,2024-01-11 17:00:00
259,35-44,Male,South,Excel,5,Needs improvement,2024-01-11 18:00:00
260,18-24,Male,South,Python,2,Very useful,2024-01-11 19:00:00
261,18-24,Female,East,Excel,2,Could be better,2024-01-11 20:00:00
262,25-34,Male,South,Excel,1,Needs improvement,2024-01-11 21:00:00
263,35-44,Female,West,Excel,2,Could be better,2024-01-11 22:00:00
264,35-44,Female,South,Excel,5,Excellent,2024-01-11 23:00:00
265,25-34,Male,South,Excel,2,Excellent,2024-01-12 00:00:00
266,25-34,Male,West,Excel,5,Excellent,2024-01-12 01:00:00
267,35-44,Female,South,R,1,Great tool,2024-01-12 02:00:00
268,35-44,Female,West,Python,3,Could be better,2024-01-12 03:00:00
269,25-34,Female,South,Excel,2,Needs improvement,2024-01-12 04:00:00
270,18-24,Male,West,Excel,3,Needs improvement,2024-01-12 05:00:00
271,18-24,Female,South,R,5,Not bad,2024-01-12 06:00:00
272,25-34,Female,South,Excel,2,Not bad,2024-01-12 07:00:00
273,18-24,Female,East,Power BI,4,Not bad,2024-01-12 08:00:00
274,25-34,Male,East,Power BI,3,Excellent,2024-01-12 09:00:00
275,18-24,Female,South,Python,2,Needs improvement,2024-01-12 10:00:00
276,18-24,Female,South,Python,3,Could be better,2024-01-12 11:00:00
277,35-44,Male,North,Excel,2,Excellent,2024-01-12 12:00:00
278,35-44,Female,West,Python,1,Great tool,2024-01-12 13:00:00
279,18-24,Female,North,Excel,3,Not bad,2024-01-12 14:00:00
280,18-24,Male,East,Power BI,4,Excellent,2024-01-12 15:00:00
281,35-44,Female,East,Python,4,Excellent,2024-01-12 16:00:00
282,35-44,Male,East,Python,5,Great tool,2024-01-12 17:00:00
283,35-44,Male,East,Python,2,Very useful,2024-01-12 18:00:00
284,25-34,Female,South,R,3,Needs improvement,2024-01-12 19:00:00
285,18-24,Female,East,Excel,5,Could be better,2024-01-12 20:00:00
286,35-44,Female,South,Python,3,Very useful,2024-01-12 21:00:00
287,18-24,Female,South,Power BI,2,Not bad,2024-01-12 22:00:00
288,25-34,Male,East,R,4,Excellent,2024-01-12 23:00:00
289,25-34,Female,East,Python,1,Great tool,2024-01-13 00:00:00
290,35-44,Male,West,Excel,4,Great tool,2024-01-13 01:00:00
291,25-34,Female,North,R,5,Needs improvement,2024-01-13 02:00:00
292,18-24,Female,East,Python,1,Very useful,2024-01-13 03:00:00
293,35-44,Female,West,Python,5,Needs improvement,2024-01-13 04:00:00
294,18-24,Male,West,Python,2,Excellent,2024-01-13 05:00:00
295,18-24,Female,North,Python,1,Needs improvement,2024-01-13 06:00:00
296,25-34,Female,South,Power BI,5,Could be better,2024-01-13 07:00:00
297,25-34,Female,East,Power BI,2,Great tool,2024-01-13 08:00:00
298,25-34,Female,North,Python,4,Great tool,2024-01-13 09:00:00
299,25-34,Male,East,Python,2,Not bad,2024-01-13 10:00:00
300,25-34,Female,West,Python,3,Not bad,2024-01-13 11:00:00
